Year,ISIN
2013,AN8068571086
2013,CA00208D4084
2013,CA0084741085
2013,CA00900Q1037
2013,CA05534B7604
2013,CA0636711016
2013,CA0641491075
2013,CA0977518616
2013,CA1247651088
2013,CA12532H1047
2013,CA13321L1085
2013,CA1360691010
2013,CA1363751027
2013,CA1363851017
2013,CA13646K1084
2013,CA1366812024
2013,CA2849025093
2013,CA29250N1050
2013,CA2927661025
2013,CA3180714048
2013,CA3359341052
2013,CA3759161035
2013,CA4495861060
2013,CA4530384086
2013,CA45823T1066
2013,CA4969024047
2013,CA5592224011
2013,CA56501R1064
2013,CA59151K1084
2013,CA6744822033
2013,CA7392391016
2013,CA7751092007
2013,CA7800871021
2013,CA8029121057
2013,CA85472N1096
2013,CA8667961053
2013,CA8672241079
2013,CA87807B1076
2013,CA8787422044
2013,CA87971M1032
2013,CA8849038085
2013,CA8911605092
2013,CA89346D1078
2013,CA8959451037
2013,CA98462Y1007
2013,GB0022569080
2013,LR0008862868
2013,PA1436583006
2013,US0010551028
2013,US00130H1059
2013,US00206R1023
2013,US0028241000
2013,US0028962076
2013,US00724F1012
2013,US0079031078
2013,US0082521081
2013,US00846U1016
2013,US0091581068
2013,US00971T1016
2013,US0126531013
2013,US0185811082
2013,US0200021014
2013,US02079K3059
2013,US02209S1033
2013,US0236081024
2013,US0255371017
2013,US0258161092
2013,US0268747849
2013,US03027X1000
2013,US0311621009
2013,US0326541051
2013,US0367521038
2013,US03743Q1085
2013,US0378331005
2013,US0382221051
2013,US0441861046
2013,US0527691069
2013,US0530151036
2013,US0534841012
2013,US0536111091
2013,US0538071038
2013,US0584981064
2013,US0605051046
2013,US0640581007
2013,US0708301041
2013,US0718131099
2013,US0758871091
2013,US0865161014
2013,US09062X1037
2013,US0970231058
2013,US1011371077
2013,US1101221083
2013,US1156372096
2013,US12504L1098
2013,US1255231003
2013,US1258961002
2013,US1264081035
2013,US12653C1080
2013,US1266501006
2013,US1270551013
2013,US1344291091
2013,US14040H1059
2013,US14149Y1082
2013,US1491231015
2013,US1667641005
2013,US1720621010
2013,US17275R1023
2013,US1729674242
2013,US1858991011
2013,US1890541097
2013,US1912161007
2013,US1924461023
2013,US1941621039
2013,US2003401070
2013,US2058871029
2013,US20825C1045
2013,US2091151041
2013,US21036P1084
2013,US22160K1051
2013,US2283681060
2013,US2310211063
2013,US2333311072
2013,US23355L1061
2013,US2371941053
2013,US2441991054
2013,US2473617023
2013,US25179M1036
2013,US2546871060
2013,US25746U1097
2013,US2600031080
2013,US26875P1012
2013,US2774321002
